[array([  1., 295.]), [53.27220285475946, 11.177787768742673, 54]]
[array([  0., 294.]), [53.272210858617, 11.177800200515108, 54]]
[array([  0., 293.]), [53.27221862104608, 11.177799740823835, 54]]
[array([  0., 292.]), [53.27222638359036, 11.177799281125738, 54]]
[array([  0., 291.]), [53.27223414624984, 11.177798821420819, 54]]
[array([  0., 290.]), [53.27224190902457, 11.177798361709076, 54]]
[array([  0., 289.]), [53.2722496719145, 11.177797901990509, 54]]
[array([  0., 288.]), [53.272257434919666, 11.17779744226512, 54]]
[array([  0., 287.]), [53.272265198040046, 11.177796982532907, 54]]
[array([  0., 286.]), [53.27227296127565, 11.177796522793868, 54]]
[array([  0., 285.]), [53.2722807246265, 11.17779606304801, 54]]
[array([  0., 279.]), [53.27232730715151, 11.177793304429533, 54]]
[array([  0., 278.]), [53.27233507130902, 11.1777928446359, 54]]
[array([  0., 277.]), [53.27234283558179, 11.17779238483544, 54]]
[array([  0., 275.]), [53.2723583644731, 11.17779146521405, 54]]
[[0, 0], [0, 0, 0]]
[array([  0., 309.]), [53.27209443600464, 11.177807095065576, 54]]
[array([  1., 309.]), [53.27209419188739, 11.177794205101817, 54]]
[array([  2., 309.]), [53.27209394775846, 11.177781314521502, 54]]
[array([  2., 310.]), [53.272086186804856, 11.177781774316916, 54]]
[array([  2., 311.]), [53.27207842596642, 11.177782234105507, 54]]
[array([  1., 311.]), [53.27207867046294, 11.177795124472526, 54]]
[array([  0., 311.]), [53.27207891494776, 11.177808014223013, 54]]
[array([  0., 310.]), [53.27208667541863, 11.177807554647705, 54]]
[array([  0., 309.]), [53.27209443600464, 11.177807095065576, 54]]
[[0, 0], [0, 0, 0]]
[array([  4., 329.]), [53.27193825492435, 11.177764730388846, 54]]
[array([  5., 328.]), [53.271945766401764, 11.17775138010612, 54]]
[array([  6., 329.]), [53.27193775923381, 11.177738949178242, 54]]
[array([  6., 330.]), [53.271929999848474, 11.177739409263761, 54]]
[array([  5., 330.]), [53.2719302478834, 11.177752300070683, 54]]
[array([  4., 329.]), [53.27193825492435, 11.177764730388846, 54]]
[[0, 0], [0, 0, 0]]
[array([  9., 263.]), [53.272449426182774, 11.177669870857237, 54]]
[array([ 10., 264.]), [53.27244142269677, 11.17765743139525, 54]]
[array([ 11., 264.]), [53.27244118674268, 11.177644530459023, 54]]
[array([ 12., 264.]), [53.272440950777295, 11.177631628905363, 54]]
[array([ 13., 264.]), [53.27244071480062, 11.177618726734224, 54]]
[array([ 13., 263.]), [53.27244848308034, 11.177618265450093, 54]]
[array([ 11., 262.]), [53.272456722680936, 11.177643608311241, 54]]
[array([ 10., 262.]), [53.27245695826677, 11.1776565094611, 54]]
[array([  9., 263.]), [53.272449426182774, 11.177669870857237, 54]]
[[0, 0], [0, 0, 0]]
[array([ 10., 323.]), [53.27198333085099, 11.17768461614077, 54]]
[array([ 11., 323.]), [53.27198308404321, 11.177671721503595, 54]]
[array([ 12., 323.]), [53.27198283722362, 11.177658826249555, 54]]
[array([ 13., 323.]), [53.27198259039221, 11.177645930378608, 54]]
[array([ 13., 326.]), [53.27195930664943, 11.177647312978285, 54]]
[array([ 13., 327.]), [53.27195154563223, 11.177647773831163, 54]]
[array([ 12., 328.]), [53.27194403248064, 11.177661130014512, 54]]
[array([ 11., 328.]), [53.2719442802192, 11.177674024734962, 54]]
[array([ 10., 323.]), [53.27198333085099, 11.17768461614077, 54]]
[[0, 0], [0, 0, 0]]
[array([ 14., 214.]), [53.272829043380355, 11.177582746000214, 55]]
[array([ 15., 213.]), [53.27283659101561, 11.177569375408394, 55]]
[array([ 15., 214.]), [53.27282881659585, 11.177569837249097, 55]]
[array([ 14., 214.]), [53.272829043380355, 11.177582746000214, 55]]
[[0, 0], [0, 0, 0]]
[array([ 14., 344.]), [53.27181937526048, 11.177642713036898, 54]]
[array([ 16., 341.]), [53.271842152996484, 11.177615539502233, 54]]
[array([ 17., 341.]), [53.271841902809406, 11.177602643084791, 54]]
[array([ 18., 341.]), [53.27184165261036, 11.177589746050396, 54]]
[array([ 19., 343.]), [53.27182588173054, 11.177577771173521, 54]]
[array([ 17., 347.]), [53.271795344390235, 11.1776054100452, 54]]
[array([ 15., 346.]), [53.271803606038354, 11.177630740052923, 54]]
[array([ 14., 345.]), [53.2718116161327, 11.177643173873374, 54]]
[array([ 14., 344.]), [53.27181937526048, 11.177642713036898, 54]]
[[0, 0], [0, 0, 0]]
[array([ 19., 272.]), [53.27237714777902, 11.177544995893637, 54]]
[array([ 20., 271.]), [53.2723846788957, 11.177531628276705, 54]]
[array([ 21., 271.]), [53.2723844415393, 11.177518721912476, 54]]
[array([ 22., 271.]), [53.27238420417155, 11.177505814930438, 54]]
[array([ 26., 272.]), [53.27237548483586, 11.177454643442179, 54]]
[array([ 26., 273.]), [53.27236771520025, 11.177455106054204, 54]]
[array([ 25., 274.]), [53.27236018364588, 11.177468477792246, 54]]
[array([ 24., 275.]), [53.27235265256391, 11.17748184869158, 54]]
[array([ 22., 275.]), [53.27235312880697, 11.177507663653904, 54]]
[array([ 21., 275.]), [53.272353366911396, 11.177520570208317, 54]]
[array([ 20., 275.]), [53.27235360500443, 11.177533476144962, 54]]
[array([ 19., 274.]), [53.27236161120169, 11.177545919613992, 54]]
[array([ 19., 273.]), [53.272369379432675, 11.177545457757246, 54]]
[array([ 19., 272.]), [53.27237714777902, 11.177544995893637, 54]]
[[0, 0], [0, 0, 0]]
[array([ 22., 350.]), [53.27177080735155, 11.177542306894777, 54]]
[array([ 23., 349.]), [53.27177831564416, 11.177528945973076, 54]]
[array([ 24., 350.]), [53.271770303513655, 11.177516507960174, 54]]
[array([ 26., 352.]), [53.27175427845947, 11.177491630703033, 54]]
[array([ 27., 354.]), [53.27173850505594, 11.177479653621496, 54]]
[array([ 26., 354.]), [53.271738757752196, 11.177492554821765, 54]]
[array([ 25., 353.]), [53.27174677054864, 11.177504993455674, 54]]
[array([ 24., 352.]), [53.271754783080674, 11.177517431679131, 54]]
[array([ 22., 350.]), [53.27177080735155, 11.177542306894777, 54]]
[[0, 0], [0, 0, 0]]
[array([ 23., 263.]), [53.27244612453412, 11.17748920869868, 54]]
[array([ 24., 263.]), [53.272445888617405, 11.177476299625397, 54]]
[array([ 26., 264.]), [53.27243764607569, 11.177450942298597, 54]]
[array([ 26., 265.]), [53.27242987551674, 11.177451404965598, 54]]
[array([ 25., 265.]), [53.27243011182457, 11.17746431506105, 54]]
[array([ 23., 264.]), [53.272438354412486, 11.177489671051697, 54]]
[array([ 23., 263.]), [53.27244612453412, 11.17748920869868, 54]]
[[0, 0], [0, 0, 0]]
[array([ 30., 270.]), [53.27239007542376, 11.177402073773951, 54]]
[array([ 31., 270.]), [53.27238983813796, 11.17738916112262, 54]]
[array([ 31., 271.]), [53.27238206735031, 11.17738962428328, 54]]
[array([ 30., 270.]), [53.27239007542376, 11.177402073773951, 54]]
[[0, 0], [0, 0, 0]]
[array([ 44., 356.]), [53.27171868050444, 11.177261166677699, 54]]
[array([ 44., 357.]), [53.271710917245095, 11.177261630637094, 54]]
[array([ 45., 357.]), [53.271710663779324, 11.177248718640111, 54]]
[array([ 46., 357.]), [53.27171041030143, 11.177235806025088, 54]]
[array([ 47., 356.]), [53.27171792062251, 11.177222428511609, 54]]
[array([ 47., 355.]), [53.27172568454894, 11.177221964224344, 54]]
[array([ 46., 355.]), [53.271725937671114, 11.177234877671458, 54]]
[array([ 45., 355.]), [53.271726190781166, 11.177247790500468, 54]]
[array([ 44., 356.]), [53.27171868050444, 11.177261166677699, 54]]
